t,distance,closing_speed,future_distance,risk,ttc,prediction_error,alert,in_danger_zone
0.0,301.98,16.0,0,0.37,18.87,0,SAFE,0
0.5,285.99,16.0,0,0.371,17.87,0,SAFE,0
1.0,270.01,16.0,0,0.371,16.88,0,SAFE,0
1.5,254.03,16.0,0,0.372,15.88,0,SAFE,0
2.0,238.05,16.0,0,0.394,14.88,0,SAFE,0
2.5,222.07,16.0,1.69,0.423,13.88,7.99,WARNING,0
3.0,206.08,16.0,1.69,0.452,12.88,7.99,WARNING,0
3.5,190.1,16.0,1.69,0.481,11.88,8.0,WARNING,0
4.0,174.12,16.0,1.69,0.51,10.88,7.99,WARNING,0
4.5,158.14,16.0,123.32,0.54,9.88,32.38,WARNING,0
5.0,142.16,16.0,108.22,0.57,8.88,32.36,WARNING,0
5.5,126.17,16.0,93.23,0.6,7.89,31.63,WARNING,0
6.0,110.19,16.0,77.87,0.631,6.89,31.2,DANGER,0
6.5,94.21,16.0,63.33,0.663,5.89,30.94,DANGER,0
7.0,78.23,16.0,48.58,0.696,4.89,31.03,DANGER,0
7.5,62.25,16.0,35.53,0.731,3.89,30.08,DANGER,0
8.0,46.26,16.0,24.05,0.77,2.89,29.91,DANGER,1
8.5,30.28,16.0,19.24,0.816,1.89,29.65,DANGER,1
9.0,14.3,16.0,24.51,0.88,0.89,29.44,DANGER,1
9.5,1.68,0.0,28.76,0.39,,29.2,SAFE,0
10.0,17.66,0.0,31.86,0.39,,29.1,SAFE,0
10.5,33.65,0.0,38.48,0.39,,28.84,SAFE,0
11.0,49.63,0.0,49.27,0.39,,28.5,SAFE,0
11.5,65.61,0.0,62.69,0.39,,28.5,SAFE,0
12.0,81.59,0.0,76.36,0.39,,28.16,SAFE,0
12.5,97.57,0.0,90.74,0.39,,27.68,SAFE,0
13.0,113.56,0.0,0,0.39,,0,SAFE,0
13.5,129.54,0.0,0,0.39,,0,SAFE,0
14.0,145.52,0.0,0,0.39,,0,SAFE,0
14.5,161.5,0.0,0,0.39,,0,SAFE,0
15.0,177.48,0.0,0,0.374,,0,SAFE,0
15.5,193.47,0.0,0,0.336,,0,SAFE,0
16.0,209.45,0.0,0,0.297,,0,SAFE,0
16.5,225.43,0.0,0,0.259,,0,SAFE,0
17.0,241.41,0.0,0,0.221,,0,SAFE,0
17.5,257.39,0.0,0,0.2,,0,SAFE,0
18.0,273.38,0.0,0,0.2,,0,SAFE,0
18.5,289.36,0.0,0,0.2,,0,SAFE,0
19.0,305.34,0.0,0,0.2,,0,SAFE,0
19.5,321.32,0.0,0,0.2,,0,SAFE,0
20.0,337.31,0.0,0,0.2,,0,SAFE,0
20.5,353.29,0.0,0,0.2,,0,SAFE,0
21.0,369.27,0.0,0,0.2,,0,SAFE,0
21.5,385.25,0.0,0,0.2,,0,SAFE,0
22.0,401.23,0.0,0,0.2,,0,SAFE,0
22.5,417.22,0.0,0,0.2,,0,SAFE,0
23.0,433.2,0.0,0,0.2,,0,SAFE,0
23.5,449.18,0.0,0,0.2,,0,SAFE,0
24.0,465.16,0.0,0,0.2,,0,SAFE,0
24.5,481.14,0.0,0,0.2,,0,SAFE,0
25.0,497.13,0.0,0,0.2,,0,SAFE,0
25.5,513.11,0.0,0,0.2,,0,SAFE,0
26.0,529.09,0.0,0,0.2,,0,SAFE,0
26.5,545.07,0.0,0,0.2,,0,SAFE,0
27.0,561.05,0.0,0,0.2,,0,SAFE,0
27.5,577.04,0.0,0,0.2,,0,SAFE,0
28.0,593.02,0.0,0,0.2,,0,SAFE,0
28.5,609.0,0.0,0,0.2,,0,SAFE,0
29.0,624.98,0.0,0,0.2,,0,SAFE,0
29.5,640.96,0.0,0,0.2,,0,SAFE,0
